Location report,,,,,,,,,,
12 June 2026 - 12 June 2026,,,,,,,,,,
Location,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Guaviare, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
"Province of Belluno, Veneto, Italy", --,0,0, --,USD,0,0,0.00%,0,0
"10700, Grand Est, France", --,0,0, --,USD,0,0,0.00%,0,0
"Zakarpattia Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
Spain, --,0,0, --,USD,0,0,0.00%,0,0
"Orimattila, Paijat-Hame, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"South Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Cruzeiro do Sul, State of Acre, Brazil", --,0,0, --,USD,0,0,0.00%,0,0
"Antioquia, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
"Samnanger Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"83500, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Forsand Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Ullensvang, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Dnipropetrovsk Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Uppsala County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Paz de Ariporo, Casanare, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
"4380, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"5518, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Vestfold, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Oppdal, Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Ostre Toten, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Chernivtsi Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Sveio Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Iasi County, Romania", --,0,0, --,USD,0,0,0.00%,0,0
Bolivia, --,0,0, --,USD,0,0,0.00%,0,0
"Lahti, Paijat-Hame, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Piura, Peru", --,0,0, --,USD,0,0,0.00%,0,0
"Mandal Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"San Martin, Peru", --,0,0, --,USD,0,0,0.00%,0,0
North Macedonia, --,0,0, --,USD,0,0,0.00%,0,0
"Nord-Fron Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Central Bedfordshire, England, United Kingdom", --,0,0, --,USD,0,0,0.00%,0,0
Lithuania, --,0,0, --,USD,0,0,0.00%,0,0
"Picardy, Hauts-de-France, France", --,0,0, --,USD,0,0,0.00%,0,0
"Vora, Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Normandy, France", --,0,0, --,USD,0,0,0.00%,0,0
"Odda Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Sogndal Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Saudi Arabia, --,0,0, --,USD,0,0,0.00%,0,0
"Sel Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Ruokolahti, South Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Gran Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Zulia, Venezuela", --,0,0, --,USD,0,0,0.00%,0,0
"Parnu County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
"England, United Kingdom", --,0,0, --,USD,0,0,0.00%,0,0
"Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Vaslui County, Romania", --,0,0, --,USD,0,0,0.00%,0,0
"Nittedal Municipality, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Kitee, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Kaunas County, Lithuania", --,0,0, --,USD,0,0,0.00%,0,0
"Stavanger, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Lunner Municipality, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Andorra, --,0,0, --,USD,0,0,0.00%,0,0
"Fusa Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Valcea County, Romania", --,0,0, --,USD,0,0,0.00%,0,0
"Birkenes Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"5570, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Slovenia, --,0,0, --,USD,0,0,0.00%,0,0
"Grimstad Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Nordre Land, --,0,0, --,USD,0,0,0.00%,0,0
"Engerdal Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Sulkava, South Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Lviv Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Cundinamarca, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
"Kuopio, North Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Haugesund, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Panama, --,0,0, --,USD,0,0,0.00%,0,0
"Kopervik, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Poland, --,0,0, --,USD,0,0,0.00%,0,0
Germany, --,0,0, --,USD,0,0,0.00%,0,0
"Joensuu, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
Vestre Slidre, --,0,0, --,USD,0,0,0.00%,0,0
"Kampar Regency, Riau, Indonesia", --,0,0, --,USD,0,0,0.00%,0,0
"Gjesdal Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Brazil, --,0,0, --,USD,0,0,0.00%,0,0
"Skjak, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Kvitsoy Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Varmdo Municipality, Stockholm County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Nannestad Municipality, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Gorj County, Romania", --,0,0, --,USD,0,0,0.00%,0,0
Netherlands, --,0,0, --,USD,0,0,0.00%,0,0
"Jevnaker Municipality, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Sauda Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Croatia, --,0,0, --,USD,0,0,0.00%,0,0
Kuwait, --,0,0, --,USD,0,0,0.00%,0,0
"Datem del Maranon Province, Loreto, Peru", --,0,0, --,USD,0,0,0.00%,0,0
,Total: Locations,0,0, --,USD,0,0,0.00%,0,0
,Total: Other locations,0,0, --,USD,0,0,0.00%,0,0
,Total: Campaign,0,0, --,USD,0,0,0.00%,0,0
